query_id,timestamp,query,model,top_k,retrieved_chunks,retrieval_latency_ms,generation_latency_ms,total_latency_ms,tokens_in,tokens_out,total_tokens,cost_usd
1b877add-0000-4e31-805e-a213df230c3f,2026-09-21T03:08:49.660992+00:00,What is Apache Spark?,gemma3:latest,5,5,732.39,968.13,1700.53,0,0,0,0.0
142e5f7b-8f8d-40df-bb7a-f8053e9a787a,2026-09-21T03:13:52.671951+00:00,What is Apache Spark?,gemma3:latest,5,5,511.85,11084.66,11596.51,387,37,424,0.0
72e4499e-489c-485d-9108-b5b9111d1136,2026-09-21T03:23:25.360037+00:00,What is Apache Spark?,gemma3:latest,5,5,621.15,9329.34,9950.49,387,37,424,0.0
29817d14-f6b6-475c-a139-de24d28eec9f,2026-09-21T03:23:39.602925+00:00,What is PySpark?,gemma3:latest,5,5,686.92,1157.78,1844.7,392,36,428,0.0
902065a8-a573-4f3e-86d2-18211e3753b6,2026-09-21T03:23:51.502350+00:00,What is data engineering?,gemma3:latest,5,5,559.21,1209.74,1768.96,426,12,438,0.0
b37dc28c-0af8-4013-b115-6407b08f0ef6,2026-09-21T03:24:03.080075+00:00,What is ETL?,gemma3:latest,5,5,591.2,1461.71,2052.91,450,32,482,0.0
c2a8320a-08f1-4846-9df7-ecd8d17f39a2,2026-09-21T03:24:14.231994+00:00,What is a data warehouse?,gemma3:latest,5,5,613.64,1822.83,2436.47,411,43,454,0.0
eb7fd7cc-4fec-4841-82fd-c0de7f1627f4,2026-09-21T03:24:29.174585+00:00,What is batch processing?,gemma3:latest,5,5,542.26,1478.43,2020.69,434,19,453,0.0
e9e0040c-97f2-4972-8290-e965d7f88a5d,2026-09-21T03:24:39.737395+00:00,What is streaming?,gemma3:latest,5,5,582.33,703.79,1286.12,415,12,427,0.0
ab4a2dc3-3388-4c4b-8a7f-2b858bbf38de,2026-09-21T03:24:49.877791+00:00,What is Kafka?,gemma3:latest,5,5,574.21,1135.41,1709.62,381,39,420,0.0
9f9225f3-9638-4524-bb37-b884871d675d,2026-09-21T03:24:59.311804+00:00,What is a data pipeline?,gemma3:latest,5,5,550.23,752.5,1302.73,434,12,446,0.0
385e6aee-4508-479e-9351-ff6d8225fbc3,2026-09-21T03:25:08.298419+00:00,What is SQL?,gemma3:latest,5,5,587.53,2888.37,3475.9,422,70,492,0.0
